iter	Passed	Remaining
0	94	94172
1	99	49416
2	102	34169
3	106	26484
4	110	21961
5	115	19100
6	119	16988
7	123	15266
8	127	14079
9	132	13126
10	137	12328
11	141	11658
12	145	11029
13	149	10500
14	152	10023
15	154	9488
16	157	9088
17	158	8636
18	159	8214
19	161	7927
20	164	7656
21	165	7368
22	168	7140
23	169	6912
24	171	6699
25	173	6510
26	175	6323
27	177	6146
28	178	5981
29	180	5820
30	181	5665
31	182	5527
32	184	5395
33	185	5266
34	186	5140
35	187	5025
36	188	4917
37	190	4811
38	191	4708
39	192	4609
40	193	4518
41	194	4435
42	195	4345
43	195	4255
44	196	4169
45	197	4093
46	198	4023
47	199	3956
48	200	3888
49	201	3828
50	202	3764
51	203	3704
52	204	3646
53	204	3588
54	205	3531
55	206	3477
56	207	3425
57	207	3374
58	208	3324
59	209	3276
60	209	3232
61	210	3187
62	211	3141
63	211	3097
64	212	3056
65	213	3014
66	213	2974
67	214	2935
68	214	2897
69	215	2862
70	215	2825
71	216	2789
72	216	2755
73	217	2722
74	218	2691
75	218	2659
76	219	2626
77	219	2595
78	219	2564
79	220	2535
80	221	2508
81	221	2479
82	221	2449
83	222	2422
84	222	2396
85	223	2371
86	223	2346
87	224	2321
88	224	2297
89	224	2274
90	225	2250
91	225	2229
92	226	2207
93	226	2186
94	227	2164
95	227	2144
96	228	2124
97	228	2105
98	229	2086
99	229	2066
100	230	2047
101	230	2029
102	230	2010
103	231	1993
104	231	1977
105	232	1960
106	232	1942
107	233	1926
108	233	1911
109	234	1895
110	234	1880
111	235	1864
112	235	1849
113	236	1834
114	236	1820
115	237	1807
116	237	1792
117	237	1778
118	238	1764
119	238	1751
120	239	1739
121	239	1726
122	240	1713
123	240	1700
124	241	1688
125	241	1676
126	241	1663
127	242	1652
128	243	1641
129	243	1629
130	243	1618
131	244	1607
132	244	1596
133	245	1585
134	245	1574
135	246	1564
136	246	1553
137	247	1543
138	247	1533
139	248	1524
140	248	1514
141	248	1503
142	249	1494
143	249	1484
144	250	1475
145	250	1466
146	251	1456
147	251	1448
148	251	1439
149	252	1430
150	252	1421
151	253	1414
152	253	1406
153	254	1397
154	254	1389
155	255	1381
156	255	1373
157	256	1365
158	256	1357
159	257	1350
160	257	1341
161	257	1333
162	258	1326
163	258	1318
164	259	1312
165	259	1305
166	260	1298
167	260	1291
168	261	1284
169	261	1277
170	262	1270
171	262	1264
172	263	1257
173	263	1250
174	263	1244
175	264	1238
176	265	1232
177	265	1226
178	266	1220
179	266	1214
180	267	1208
181	267	1202
182	267	1196
183	268	1190
184	268	1184
185	269	1178
186	269	1172
187	270	1167
188	270	1162
189	271	1156
190	271	1151
191	272	1146
192	272	1140
193	273	1135
194	273	1129
195	274	1124
196	274	1119
197	275	1113
198	275	1108
199	276	1104
200	276	1099
201	276	1094
202	277	1089
203	277	1084
204	278	1079
205	278	1074
206	279	1069
207	279	1064
208	280	1059
209	280	1055
210	281	1050
211	281	1046
212	282	1042
213	282	1037
214	282	1033
215	283	1028
216	283	1024
217	284	1020
218	284	1015
219	285	1011
220	285	1006
221	286	1002
222	286	999
223	287	995
224	287	990
225	288	986
226	288	983
227	289	978
228	289	974
229	290	971
230	290	967
231	290	963
232	291	959
233	291	955
234	292	952
235	292	948
236	293	944
237	293	940
238	294	937
239	294	933
240	295	929
241	295	926
242	296	922
243	296	918
244	297	915
245	297	911
246	298	908
247	298	905
248	299	902
249	299	899
250	300	895
251	300	892
252	301	889
253	301	885
254	301	882
255	302	878
256	302	875
257	303	872
258	303	869
259	304	866
260	304	863
261	305	860
262	305	857
263	306	854
264	306	850
265	307	847
266	307	844
267	308	841
268	308	838
269	309	836
270	309	833
271	310	830
272	310	827
273	311	824
274	311	821
275	312	818
276	312	815
277	313	812
278	313	810
279	313	807
280	314	804
281	315	802
282	315	799
283	315	796
284	316	793
285	316	791
286	317	788
287	317	785
288	318	782
289	318	780
290	319	777
291	319	774
292	320	772
293	320	770
294	321	767
295	321	765
296	322	762
297	322	760
298	323	757
299	323	755
300	324	752
301	324	749
302	324	747
303	325	745
304	326	743
305	326	740
306	327	738
307	327	736
308	328	733
309	328	731
310	329	729
311	329	726
312	330	724
313	330	722
314	330	719
315	331	717
316	332	715
317	332	713
318	333	710
319	333	708
320	334	706
321	334	704
322	335	702
323	335	700
324	336	698
325	336	696
326	337	694
327	337	692
328	338	690
329	339	688
330	339	686
331	339	684
332	340	681
333	340	679
334	341	677
335	341	675
336	342	673
337	343	671
338	343	669
339	343	667
340	344	665
341	344	663
342	345	661
343	345	659
344	346	657
345	346	654
346	346	652
347	347	651
348	347	649
349	348	647
350	348	645
351	349	643
352	349	641
353	350	639
354	350	637
355	351	635
356	351	633
357	352	631
358	352	629
359	353	628
360	354	626
361	354	625
362	355	623
363	355	621
364	356	619
365	356	617
366	357	615
367	357	614
368	357	612
369	358	610
370	359	609
371	359	607
372	360	605
373	360	604
374	361	602
375	361	600
376	362	598
377	362	597
378	363	595
379	363	593
380	364	592
381	364	590
382	365	588
383	365	587
384	366	585
385	366	583
386	367	581
387	367	580
388	368	578
389	368	576
390	369	574
391	369	573
392	370	571
393	370	570
394	371	568
395	371	567
396	372	565
397	372	563
398	373	562
399	373	560
400	374	559
401	374	557
402	375	556
403	375	554
404	376	553
405	377	551
406	377	549
407	377	548
408	378	546
409	378	545
410	379	543
411	379	541
412	380	540
413	380	538
414	381	537
415	381	535
416	381	534
417	382	532
418	383	531
419	383	529
420	383	528
421	384	526
422	384	524
423	385	523
424	385	521
425	386	520
426	386	519
427	387	517
428	387	516
429	388	514
430	388	513
431	389	511
432	389	510
433	389	508
434	390	506
435	390	505
436	391	504
437	391	502
438	392	501
439	392	500
440	393	498
441	393	497
442	394	495
443	395	494
444	395	493
445	396	491
446	396	490
447	397	489
448	397	487
449	398	486
450	398	485
451	399	484
452	399	482
453	400	481
454	400	480
455	401	478
456	401	477
457	402	475
458	402	474
459	403	473
460	404	472
461	404	471
462	405	469
463	405	468
464	405	467
465	406	465
466	406	464
467	407	462
468	407	461
469	408	460
470	408	459
471	409	457
472	409	456
473	410	455
474	410	453
475	410	452
476	411	451
477	411	449
478	412	448
479	412	447
480	413	445
481	413	444
482	414	443
483	414	442
484	415	441
485	415	439
486	416	438
487	416	437
488	417	435
489	417	434
490	417	433
491	418	432
492	419	430
493	419	429
494	420	428
495	420	427
496	421	426
497	421	425
498	422	423
499	422	422
500	423	421
501	423	420
502	424	419
503	425	418
504	425	417
505	426	416
506	426	414
507	427	413
508	427	412
509	428	411
510	428	410
511	429	408
512	429	407
513	429	406
514	430	405
515	431	404
516	431	403
517	432	402
518	432	400
519	432	399
520	433	398
521	433	397
522	434	396
523	434	394
524	435	393
525	435	392
526	436	391
527	436	390
528	437	389
529	437	388
530	438	386
531	438	385
532	438	384
533	439	383
534	439	382
535	440	381
536	440	379
537	441	378
538	441	377
539	442	376
540	442	375
541	443	374
542	443	373
543	443	372
544	444	370
545	444	369
546	445	368
547	445	367
548	445	366
549	446	365
550	446	364
551	447	363
552	448	362
553	448	360
554	448	359
555	449	358
